(2, 20),0,52.745012868
(2, 21),1,52.854364945
(2, 22),2,52.950965725
(2, 23),3,53.0274171655
(1, 7),4,53.1880902035
(1, 6),5,50.4009589382
(1, 5),6,-1
(1, 4),7,52.9991937137
(2, 16),8,52.8872382502
(2, 17),9,52.818659987
(2, 18),10,52.8400234727
(2, 19),11,53.4879294699
(1, 3),12,53.2611892869
(1, 2),13,53.2356512789
(1, 1),14,53.1534381433
(1, 0),15,53.1652887634
(2, 0),16,52.9838308568
(2, 1),17,52.808180698
(2, 2),18,52.9969492659
(2, 3),19,52.7388635107
(1, 19),20,53.0651237274
(1, 18),21,53.050656521
(1, 17),22,53.1771633662
(1, 16),23,53.1799736924
(2, 4),24,53.004619432
(2, 5),25,52.942633368
(2, 6),26,52.8091312694
(2, 7),27,53.0011971196
(1, 23),28,53.2747017816
(1, 22),29,53.235742399
(1, 21),30,53.2411079247
(1, 20),31,53.2707161497
(2, 15),32,52.827054647
(2, 14),33,53.0385415306
(2, 13),34,52.8702976533
(2, 12),35,52.833958764
(1, 28),36,53.1381292536
(1, 29),37,53.1966131858
(1, 30),38,53.1903706701
(1, 31),39,52.8564886527
(2, 11),40,52.939256548
(2, 10),41,53.0615808767
(2, 9),42,52.8272122289
(2, 8),43,52.8847610521
(1, 24),44,53.1319886523
(1, 25),45,53.257979723
(1, 26),46,53.0438135736
(1, 27),47,52.8812909852
(2, 27),48,53.0442570051
(2, 26),49,52.9393386595
(2, 25),50,52.8651345005
(2, 24),51,52.4113843322
(1, 8),52,53.1833976284
(1, 9),53,53.1796056894
(1, 10),54,53.017568602
(1, 11),55,53.1030146205
(2, 31),56,52.8339640293
(2, 30),57,52.9808520249
(2, 29),58,52.7418777181
(2, 28),59,52.8600930718
(1, 12),60,53.1331089651
(1, 13),61,53.1237207948
(1, 14),62,53.1270332031
(1, 15),63,52.8921818212
(2, 20),0,52.745012868
(2, 21),1,52.854364945
(2, 22),2,52.950965725
(2, 23),3,53.0274171655
(1, 7),4,53.1880902035
(1, 6),5,50.4009589382
(1, 5),6,-1
(1, 4),7,52.9991937137
(2, 16),8,52.8872382502
(2, 17),9,52.818659987
(2, 18),10,52.8400234727
(2, 19),11,53.4879294699
(1, 3),12,53.2611892869
(1, 2),13,53.2356512789
(1, 1),14,53.1534381433
(1, 0),15,53.1652887634
(2, 0),16,52.9838308568
(2, 1),17,52.808180698
(2, 2),18,52.9969492659
(2, 3),19,52.7388635107
(1, 19),20,53.0651237274
(1, 18),21,53.050656521
(1, 17),22,53.1771633662
(1, 16),23,53.1799736924
(2, 4),24,53.004619432
(2, 5),25,52.942633368
(2, 6),26,52.8091312694
(2, 7),27,53.0011971196
(1, 23),28,53.2747017816
(1, 22),29,53.235742399
(1, 21),30,53.2411079247
(1, 20),31,53.2707161497
(2, 15),32,52.827054647
(2, 14),33,53.0385415306
(2, 13),34,52.8702976533
(2, 12),35,52.833958764
(1, 28),36,53.1381292536
(1, 29),37,53.1966131858
(1, 30),38,53.1903706701
(1, 31),39,52.8564886527
(2, 11),40,52.939256548
(2, 10),41,53.0615808767
(2, 9),42,52.8272122289
(2, 8),43,52.8847610521
(1, 24),44,53.1319886523
(1, 25),45,53.257979723
(1, 26),46,53.0438135736
(1, 27),47,52.8812909852
(2, 27),48,53.0442570051
(2, 26),49,52.9393386595
(2, 25),50,52.8651345005
(2, 24),51,52.4113843322
(1, 8),52,53.1833976284
(1, 9),53,53.1796056894
(1, 10),54,53.017568602
(1, 11),55,53.1030146205
(2, 31),56,52.8339640293
(2, 30),57,52.9808520249
(2, 29),58,52.7418777181
(2, 28),59,52.8600930718
(1, 12),60,53.1331089651
(1, 13),61,53.1237207948
(1, 14),62,53.1270332031
(1, 15),63,52.8921818212
